"REF_DATE","GEO","DGUID","Economic family type","Household food security status","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","All persons","Food secure","Number of persons","Number","223","thousands","3","v1288003138","1.1.1.1","30238","A","","","0"
"2018","Canada","2016A000011124","All persons","Food secure","Percentage of persons","Percent","239","units","0","v1288003139","1.1.1.2","83.2","A","","","1"
"2018","Canada","2016A000011124","All persons","Food insecure","Number of persons","Number","223","thousands","3","v1529611272","1.1.6.1","6099","B","","","0"
"2018","Canada","2016A000011124","All persons","Food insecure","Percentage of persons","Percent","239","units","0","v1529611273","1.1.6.2","16.8","B","","","1"
"2018","Canada","2016A000011124","All persons","Food insecure, marginal","Number of persons","Number","223","thousands","3","v1288003140","1.1.2.1","1879","C","","","0"
"2018","Canada","2016A000011124","All persons","Food insecure, marginal","Percentage of persons","Percent","239","units","0","v1288003141","1.1.2.2","5.2","C","","","1"
"2018","Canada","2016A000011124","All persons","Food insecure, moderate or severe","Number of persons","Number","223","thousands","3","v1288003142","1.1.3.1","4220","B","","","0"
"2018","Canada","2016A000011124","All persons","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003143","1.1.3.2","11.6","B","","","1"
"2018","Canada","2016A000011124","All persons","Food insecure, moderate","Number of persons","Number","223","thousands","3","v1288003144","1.1.4.1","2905","B","","","0"
"2018","Canada","2016A000011124","All persons","Food insecure, moderate","Percentage of persons","Percent","239","units","0","v1288003145","1.1.4.2","8.0","B","","","1"
"2018","Canada","2016A000011124","All persons","Food insecure, severe","Number of persons","Number","223","thousands","3","v1288003146","1.1.5.1","1314","C","","","0"
"2018","Canada","2016A000011124","All persons","Food insecure, severe","Percentage of persons","Percent","239","units","0","v1288003147","1.1.5.2","3.6","C","","","1"
"2018","Canada","2016A000011124","Persons in economic families","Food secure","Number of persons","Number","223","thousands","3","v1288003148","1.2.1.1","25423","A","","","0"
"2018","Canada","2016A000011124","Persons in economic families","Food secure","Percentage of persons","Percent","239","units","0","v1288003149","1.2.1.2","83.9","A","","","1"
"2018","Canada","2016A000011124","Persons in economic families","Food insecure","Number of persons","Number","223","thousands","3","v1529611274","1.2.6.1","4880","B","","","0"
"2018","Canada","2016A000011124","Persons in economic families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611275","1.2.6.2","16.1","B","","","1"
"2018","Canada","2016A000011124","Persons in economic families","Food insecure, marginal","Number of persons","Number","223","thousands","3","v1288003150","1.2.2.1","1583","C","","","0"
"2018","Canada","2016A000011124","Persons in economic families","Food insecure, marginal","Percentage of persons","Percent","239","units","0","v1288003151","1.2.2.2","5.2","C","","","1"
"2018","Canada","2016A000011124","Persons in economic families","Food insecure, moderate or severe","Number of persons","Number","223","thousands","3","v1288003152","1.2.3.1","3297","B","","","0"
"2018","Canada","2016A000011124","Persons in economic families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003153","1.2.3.2","10.9","B","","","1"
"2018","Canada","2016A000011124","Persons in economic families","Food insecure, moderate","Number of persons","Number","223","thousands","3","v1288003154","1.2.4.1","2401","B","","","0"
"2018","Canada","2016A000011124","Persons in economic families","Food insecure, moderate","Percentage of persons","Percent","239","units","0","v1288003155","1.2.4.2","7.9","B","","","1"
"2018","Canada","2016A000011124","Persons in economic families","Food insecure, severe","Number of persons","Number","223","thousands","3","v1288003156","1.2.5.1","896","C","","","0"
"2018","Canada","2016A000011124","Persons in economic families","Food insecure, severe","Percentage of persons","Percent","239","units","0","v1288003157","1.2.5.2","3.0","C","","","1"
"2018","Canada","2016A000011124","Persons in elderly families","Food secure","Number of persons","Number","223","thousands","3","v1288003158","1.3.1.1","4034","A","","","0"
"2018","Canada","2016A000011124","Persons in elderly families","Food secure","Percentage of persons","Percent","239","units","0","v1288003159","1.3.1.2","92.9","A","","","1"
"2018","Canada","2016A000011124","Persons in elderly families","Food insecure","Number of persons","Number","223","thousands","3","v1529611276","1.3.6.1","310","D","","","0"
"2018","Canada","2016A000011124","Persons in elderly families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611277","1.3.6.2","7.1","D","","","1"
"2018","Canada","2016A000011124","Persons in elderly families","Food insecure, marginal","Number of persons","Number","223","thousands","3","v1288003160","1.3.2.1","115","E","","","0"
"2018","Canada","2016A000011124","Persons in elderly families","Food insecure, marginal","Percentage of persons","Percent","239","units","0","v1288003161","1.3.2.2","2.7","E","","","1"
"2018","Canada","2016A000011124","Persons in elderly families","Food insecure, moderate or severe","Number of persons","Number","223","thousands","3","v1288003162","1.3.3.1","195","D","","","0"
"2018","Canada","2016A000011124","Persons in elderly families","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003163","1.3.3.2","4.5","D","","","1"
"2018","Canada","2016A000011124","Persons in elderly families","Food insecure, moderate","Number of persons","Number","223","thousands","3","v1288003164","1.3.4.1","129","D","","","0"
"2018","Canada","2016A000011124","Persons in elderly families","Food insecure, moderate","Percentage of persons","Percent","239","units","0","v1288003165","1.3.4.2","3.0","D","","","1"
"2018","Canada","2016A000011124","Persons in elderly families","Food insecure, severe","Number of persons","Number","223","thousands","3","v1288003166","1.3.5.1","66","E","","","0"
"2018","Canada","2016A000011124","Persons in elderly families","Food insecure, severe","Percentage of persons","Percent","239","units","0","v1288003167","1.3.5.2","1.5","E","","","1"
"2018","Canada","2016A000011124","Persons in elderly couples","Food secure","Number of persons","Number","223","thousands","3","v1288003168","1.4.1.1","2917","A","","","0"
"2018","Canada","2016A000011124","Persons in elderly couples","Food secure","Percentage of persons","Percent","239","units","0","v1288003169","1.4.1.2","95.1","A","","","1"
"2018","Canada","2016A000011124","Persons in elderly couples","Food insecure","Number of persons","Number","223","thousands","3","v1529611278","1.4.6.1","149","D","","","0"
"2018","Canada","2016A000011124","Persons in elderly couples","Food insecure","Percentage of persons","Percent","239","units","0","v1529611279","1.4.6.2","4.9","D","","","1"
"2018","Canada","2016A000011124","Persons in elderly couples","Food insecure, marginal","Number of persons","Number","223","thousands","3","v1288003170","1.4.2.1","61","D","","","0"
"2018","Canada","2016A000011124","Persons in elderly couples","Food insecure, marginal","Percentage of persons","Percent","239","units","0","v1288003171","1.4.2.2","2.0","D","","","1"
"2018","Canada","2016A000011124","Persons in elderly couples","Food insecure, moderate or severe","Number of persons","Number","223","thousands","3","v1288003172","1.4.3.1","88","D","","","0"
"2018","Canada","2016A000011124","Persons in elderly couples","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003173","1.4.3.2","2.9","D","","","1"
"2018","Canada","2016A000011124","Persons in elderly couples","Food insecure, moderate","Number of persons","Number","223","thousands","3","v1288003174","1.4.4.1","63","D","","","0"
"2018","Canada","2016A000011124","Persons in elderly couples","Food insecure, moderate","Percentage of persons","Percent","239","units","0","v1288003175","1.4.4.2","2.1","D","","","1"
"2018","Canada","2016A000011124","Persons in elderly couples","Food insecure, severe","Number of persons","Number","223","thousands","3","v1288003176","1.4.5.1","25","E","","","0"
"2018","Canada","2016A000011124","Persons in elderly couples","Food insecure, severe","Percentage of persons","Percent","239","units","0","v1288003177","1.4.5.2","0.8","E","","","1"
"2018","Canada","2016A000011124","Persons in other elderly families","Food secure","Number of persons","Number","223","thousands","3","v1288003178","1.5.1.1","1116","C","","","0"
"2018","Canada","2016A000011124","Persons in other elderly families","Food secure","Percentage of persons","Percent","239","units","0","v1288003179","1.5.1.2","87.4","B","","","1"
"2018","Canada","2016A000011124","Persons in other elderly families","Food insecure","Number of persons","Number","223","thousands","3","v1529611280","1.5.6.1","161","D","","","0"
"2018","Canada","2016A000011124","Persons in other elderly families","Food insecure","Percentage of persons","Percent","239","units","0","v1529611281","1.5.6.2","12.6","D","","","1"
"2018","Canada","2016A000011124","Persons in other elderly families","Food insecure, marginal","Number of persons","Number","223","thousands","3","v1288003180","1.5.2.1","54","E","","","0"
"2018","Canada","2016A000011124","Persons in other elderly families","Food insecure, marginal","Percentage of persons","Percent","239","units","0","v1288003181","1.5.2.2","4.2","E","","","1"
